crscode,name,longitude,latitude,easting,northing,staffinglevel,cctv,ticketmachine,carspaces,busservices,category,frequency,entsexits,dateopened
WMD,WYMONDHAM,1.118025,52.565411,611423,300965,unstaffed,false,true,90,true,F1,40,200332,
CAN,CARNOUSTIE,-2.706600,56.500562,356600,734500,unstaffed,true,true,17,true,F,49,200460,
CUP,CUPAR,-3.008756,56.316986,337700,714300,partTime,true,true,116,true,D,44,200492,
HML,HEMEL HEMPSTEAD,-0.490774,51.742331,504300,205925,partTime,true,true,496,true,C2,187,2008894,
FRI,FRINTON-ON-SEA,1.243171,51.837681,623525,220426,partTime,true,true,20,true,E,51,200904,
CHL,CHILWORTH,-0.524824,51.215211,503130,147257,unstaffed,false,false,0,true,F2,27,20114,
DLS,DALSTON (CUMBRIA),-2.988852,54.846175,336600,550600,unstaffed,true,false,0,true,F2,37,20122,
FRO,FROME,-2.309997,51.227269,378450,147610,partTime,true,true,15,true,D,40,201332,
MAT,MATLOCK,-1.558911,53.138406,429605,360230,unstaffed,true,true,35,true,F1,34,201360,
BHO,BLACKHORSE ROAD,-0.041236,51.586604,535800,189345,fullTime,true,true,342,true,E,140,2014394,
DEE,DUNDEE,-2.971204,56.456484,340242,729793,partTime,true,true,9,true,B,127,2015782,
ART,ARROCHAR & TARBET,-4.722770,56.203969,231200,704600,unstaffed,false,false,9,true,F,20,20192,
EAG,EAGLESCLIFFE,-1.349437,54.529430,442200,515100,unstaffed,true,false,79,true,F1,76,202222,
WNC,WINDSOR & ETON CENTRAL,-0.610380,51.483266,496590,176950,fullTime,true,true,0,true,D,110,2024294,
CLA,CLANDON,-0.502766,51.264004,504560,152714,partTime,true,true,91,true,E,142,203266,
AVP,AYLESBURY VALE PARKWAY,-0.860182,51.831157,478641,215341,partTime,true,true,501,true,E,49,203266,14/12/2008
WOM,WOMBWELL,-1.416162,53.517344,438810,402455,unstaffed,true,true,6,true,F1,78,203442,
SOL,SOLIHULL,-1.788391,52.414389,414490,279620,unstaffed,true,true,446,true,D,182,2039998,
COE,COOMBE JUNCTION HALT,-4.481851,50.445918,223885,63619,unstaffed,false,false,0,true,F2,4,204,
SOB,SOUTHBOURNE,-0.908107,50.848275,476965,105985,partTime,true,true,0,true,E,112,204058,
SWM,SWANSCOMBE,0.309543,51.449069,560582,174761,partTime,true,true,0,true,E,164,204156,
LLR,LLANHARAN,-3.440778,51.537584,300170,183060,unstaffed,true,true,43,NA,F2,37,204208,
AUG,AUGHTON PARK,-2.895221,53.554246,340790,406775,fullTime,true,false,0,true,E,124,204282,
PBR,POTTERS BAR,-0.192605,51.697066,525010,201359,partTime,true,true,276,true,C2,263,2043070,
FML,FRIMLEY,-0.746991,51.311860,487430,157717,partTime,true,true,24,NA,E,73,204340,
SHW,SHAWFORD,-1.327774,51.022123,447245,124965,unstaffed,false,true,30,true,F2,55,204424,
KTW,KENTISH TOWN WEST,-0.146655,51.546546,528610,184700,partTime,true,true,0,true,E,278,2050956,
HIG,HIGHBRIDGE & BURNHAM,-2.972153,51.218155,332200,147000,unstaffed,true,false,20,true,F1,48,205232,
PMS,PORTSMOUTH & SOUTHSEA,-1.090911,50.798494,464164,100275,fullTime,true,true,26,true,C1,343,2053186,
CUB,CUMBERNAULD,-3.980334,55.942024,276410,673880,partTime,true,true,97,true,E,109,205622,
RTR,ROCHESTER,0.510281,51.385548,574771,168157,partTime,true,true,0,true,D,311,2056936,
CNY,CANTLEY,1.513412,52.578746,638140,303680,unstaffed,true,true,2,NA,F2,31,20590,
CST,LONDON CANNON STREET,-0.090293,51.511381,532620,180890,fullTime,true,true,0,true,A,480,20614904,
LHD,LEATHERHEAD,-0.333232,51.298816,516300,156840,fullTime,true,true,0,true,C2,213,2062214,
SBE,STARBECK,-1.501130,53.998997,432800,456000,unstaffed,true,true,0,true,F1,67,206654,
AGT,ALDRINGTON,-0.183821,50.836382,527984,105666,unstaffed,true,true,0,true,F1,76,206968,
WOF,WORCESTER FOREGATE STREET,-2.221596,52.195143,384950,255235,partTime,true,true,0,true,C2,132,2071468,
CFR,CHANDLERS FORD,-1.385170,50.983682,443255,120655,partTime,true,true,45,true,E,36,207192,
EGH,EGHAM,-0.546512,51.429645,501143,171073,partTime,true,true,54,true,C2,177,2072838,
CAR,CARLISLE,-2.933192,54.890650,340240,555500,fullTime,true,true,244,true,B,238,2074220,
SED,SHELFORD (CAMBS),0.139981,52.148826,546516,252219,partTime,false,true,0,true,E,56,207478,
NWI,NORTHWICH,-2.496917,53.261450,366950,373943,partTime,false,true,50,true,E,42,207950,
SWT,SLAITHWAITE,-1.881579,53.623828,407930,414150,unstaffed,true,true,15,true,F2,42,208096,
PLW,POLLOKSHIELDS WEST,-4.275753,55.837698,257580,662840,unstaffed,true,true,0,true,F,78,208188,
CAO,CANNOCK,-2.022147,52.686159,398600,309830,unstaffed,true,true,90,true,F1,68,208260,
INC,INCE (MANCHESTER),-2.611520,53.538910,359570,404870,unstaffed,true,false,0,true,F2,47,20856,
GWN,GOWERTON,-4.035934,51.648724,259240,196400,unstaffed,true,true,23,NA,F2,55,208580,
OVR,OVERTON,-1.259268,51.254292,451790,150830,partTime,true,true,38,true,E,51,209620,
EGN,EASTRINGTON,-0.787630,53.755160,480034,429437,unstaffed,true,false,0,true,F2,5,2100,
PMH,PORTSMOUTH HARBOUR,-1.107840,50.796961,462973,100090,fullTime,true,true,0,true,C1,282,2100528,
BLA,BLAIR ATHOLL,-3.850228,56.765545,287000,765300,unstaffed,false,false,6,true,F,17,21008,
VXH,VAUXHALL,-0.122875,51.486188,530431,178030,fullTime,true,true,0,true,B,961,21009688,
SHE,SHERBORNE,-2.513073,50.944020,364050,116190,fullTime,true,true,57,true,D,51,210170,
WPL,WORPLESDON,-0.582578,51.289016,498938,155385,partTime,true,true,120,true,E,58,210180,
YVJ,YEOVIL JUNCTION,-2.612456,50.924747,357050,114100,partTime,true,true,199,true,D,61,210246,
ASP,ASPATRIA,-3.331874,54.758955,314390,541260,unstaffed,true,false,0,true,F2,37,21026,
WDB,WOODBRIDGE,1.317771,52.090445,627380,248760,unstaffed,true,true,72,true,F1,34,210440,
